Date,Baltic Dry Index (BDI),VLCC Rate (USD/day),RoRo Rate (USD/day)
2025-08-09,1509.9342830602247,31907.31646143751,8146.564876892156
2025-08-10,1519.4569361987985,32129.076271508173,8032.9779255069025
2025-08-11,1557.3982152064582,32492.83689875765,8117.863931579904
2025-08-12,1597.1272637948273,32284.010617735108,8024.191848045321
2025-08-13,1584.2058213944222,32543.905322386283,8167.783949769704
2025-08-14,1606.4283719721275,32998.653605262916,8288.870036748764
2025-08-15,1664.917589643481,33130.76710926645,8218.233975591103
2025-08-16,1670.9042501386139,33618.40502207461,8426.458690723455
2025-08-17,1668.3882900590788,33596.17296267354,8384.380575452566
2025-08-18,1710.8512008717194,33717.53925973294,8470.830625020672
